ID        SITE NAME                       ST     LAT         LON       ELV(ft)
WST       Westerly                        RI  41.349722   -71.798889      70
29J       Rock Hill                       SC  34.986944   -81.055000     663
CEU       Clemson                         SC  34.672222   -82.881389     882
CUB       Columbia                        SC  33.970833   -80.994444     184
GRD       Greenwood                       SC  34.247222   -82.154722     610
OGB       Orangeburg                      SC  33.463889   -80.853611     197
6V2       Pine Ridge                      SD  43.025556  -102.523056    3292
NED       Bob Wiley Field Airport         SD  43.390556   -99.842222       0
CKV       Clarksville                     TN  36.616667   -87.411389     542
3R5       New Braunfels                   TX  29.708611   -98.045278     640
BGD       Borger                          TX  35.695000  -101.395000    3041
CRS       Corsicana                       TX  32.031111   -96.398889     438
CXO       Conroe                          TX  30.356667   -95.413889     247
DTO       Denton                          TX  33.206111   -97.198889     646
E02       Odessa                          TX  31.921389  -102.391667    2960
F54       Arlington                       TX  32.663889   -97.095833     609
FST       Fort Stockton                   TX  30.911944  -102.916667    3013
HDO       Hondo                           TX  29.359444   -99.174167     927
LBX       Angleton/Lake Jackson           TX  29.115278   -95.463056      21
RKP       Rockport                        TX  28.083611   -97.046389      22
T02       Houston                         TX  29.518889   -95.241667      41
T27       Burnet                          TX  30.740556   -98.235278    1276
T31       Port Isabel                     TX  26.159167   -97.337500      17
T39       Huntsville                      TX  30.743889   -95.586111     343
TKI       McKinney                        TX  33.185000   -96.587778     588
TRL       Terrell                         TX  32.713611   -96.268333     475
CNY       Moab                            UT  38.760000  -109.744722    4561
LGU       Logan                           UT  41.782778  -111.853889    4445
PUC       Price                           UT  39.609167  -110.754722    5851
VEL       Vernal                          UT  40.444167  -109.511667    5266
OFP       Richmond                        VA  37.708056   -77.434444     205
5B5       Bennington                      VT  42.890000   -73.246389     801
MVL       Morrisville                     VT  44.536111   -72.616111     733
VSF       Springfield                     VT  43.342500   -72.521667     577
07S       Deer Park                       WA  47.974167  -117.428333    2194
CLM       Port Angeles                    WA  48.122222  -123.505278     282
ELN       Ellensburg                      WA  47.033611  -120.529167    1705
FHR       Friday Harbor                   WA  48.520278  -123.025278     108
OMK       Omak                            WA  48.461389  -119.519167    1298
PUW       Pullman/Moscow                  WA  46.743889  -117.113611    2538
47C       Boscobel                        WI  43.156111   -90.677500     665
ASX       Ashland                         WI  46.549722   -90.918333     824
ENW       Kenosha                         WI  42.595000   -87.938056     721
FLD       Fond Du Lac                     WI  43.770000   -88.486389     790
HYR       Hayward                         WI  46.020556   -91.450278    1214
ISW       Wisconsin Rapids                WI  44.359167   -89.836944    1009
MFI       Marshfield                      WI  44.638056   -90.187500    1246
RAC       Racine                          WI  42.758611   -87.817778     666
RHI       Rhinelander                     WI  45.631667   -89.482222    1591
SBM       Sheboygan                       WI  43.776389   -87.849722     763
BPI       Big Piney                       WY  42.578889  -110.103056    6945
BYG       Buffalo                         WY  44.381389  -106.718889    4911
DGW       Douglas                         WY  42.794167  -105.381944    4919
EVW       Evanston                        WY  41.273056  -111.030556    7141
GEY       Greybull                        WY  44.515833  -108.075833    3908
TOR       Torrington                      WY  42.064722  -104.152778    4191
BIG       Delta Junction/Ft. Greely       AK  63.993611  -145.692500    1272
BTT       Bettles                         AK  66.916111  -151.508889     647
CDV       Cordova                         AK  60.488889  -145.451111      51
ENA       Kenai                           AK  60.579722  -151.239167      85
GKN       Gulkana                         AK  62.160278  -145.457500    1575
ILI       Iliamna                         AK  59.749167  -154.909167     173
JNU       Juneau                          AK  58.356111  -134.562500      27
KTN       Ketchikan                       AK  55.353056  -131.722500      83
LHD       Anchorage                       AK  61.178056  -149.963611      94
MRI       Anchorage                       AK  61.216944  -149.855000     132
ORT       Northway                        AK  62.962778  -141.936389    1715
PAQ       Palmer                          AK  61.596111  -149.091667     229
SCC       Deadhorse                       AK  70.191667  -148.477222      76
SIT       Sitka                           AK  57.048056  -135.364722      15
TAL       Tanana                          AK  65.174444  -152.106944     237
ANB       Anniston                        AL  33.583889   -85.865556     601
BHM       Birmingham                      AL  33.565556   -86.745000     647
DHN       Dothan                          AL  31.318333   -85.443889     372
MSL       Muscle Shoals                   AL  34.743889   -87.599444     541
TCL       Tuscaloosa                      AL  33.211944   -87.615833     162
ELD       El Dorado                       AR  33.220556   -92.813889     266
FYV       Fayetteville                    AR  36.010278   -94.167778    1235
HOT       Hot Springs                     AR  34.475833   -93.104167     533
HRO       Harrison                        AR  36.266111   -93.155833    1371
JBR       Jonesboro                       AR  35.837222   -90.643056     261
LIT       Little Rock                     AR  34.726667   -92.236111     258
PBF       Pine Bluff                      AR  34.180000   -91.934167     205
TXK       Texarkana                       AR  33.456111   -93.987500     380
DVT       Phoenix                         AZ  33.690000  -112.068611    1456
GCN       Grand Canyon                    AZ  35.946111  -112.154722    6614
PRC       Prescott                        AZ  34.658889  -112.412500    5001
SDL       Scottsdale                      AZ  33.622500  -111.908333    1467
ACV       Arcata/Eureka                   CA  40.974722  -124.101389     223
APC       Napa                            CA  38.207500  -122.279444      44
BLH       Blythe                          CA  33.618611  -114.714167     392
BUR       Burbank                         CA  34.199722  -118.364722     712
CCR       Concord                         CA  37.991667  -122.051944      38
CNO       Chino                           CA  34.974722  -117.633611     650
CRQ       Carlsbad                        CA  33.130000  -117.275833     317
DAG       Daggett                         CA  34.853611  -116.785833    1926
FUL       Fullerton                       CA  33.871944  -117.984722     118
HHR       Hawthorne                       CA  33.923611  -118.331944      60
HWD       Hayward                         CA  37.660556  -122.118056      70
IPL       Imperial                        CA  32.834444  -115.575278     -59
LVK       Livermore                       CA  37.692778  -121.814444     387
MOD       Modesto                         CA  37.624167  -120.950556      98
MRY       Monterey                        CA  36.590556  -121.847500     217
MYF       San Diego                       CA  32.814444  -117.136389     447
MYV       Marysville                      CA  39.101944  -121.567778      70
OAK       Oakland                         CA  37.701667  -122.217222      86
ONT       Ontario                         CA  34.053333  -117.575833     902
OXR       Oxnard                          CA  34.200556  -119.203056      66
PAO       Palo Alto                       CA  37.455278  -122.109722       3
PMD       Palmdale                        CA  34.629722  -118.081389    2560
PRB       Paso Robles                     CA  35.669722  -120.628333     804
PSP       Palm Springs                    CA  33.822222  -116.503611     463
RAL       Riverside                       CA  33.951389  -117.450556     827
SAC       Sacramento                      CA  38.506944  -121.495000      39
SBA       Santa Barbara                   CA  34.425833  -119.842500      10
SBP       San Luis Obispo                 CA  35.236389  -120.635000     194
SJC       San Jose                        CA  37.368333  -121.937500      65
SMF       Sacramento                      CA  38.701389  -121.593889      20
SMO       Santa Monica                    CA  34.013611  -118.455556     190
SNA       Santa Ana                       CA  33.679444  -117.867500      50
SNS       Salinas                         CA  36.663611  -121.608056     101
STS       Santa Rosa                      CA  38.503889  -122.810278     153
TVL       South Lake Tahoe                CA  38.899444  -119.990833    6314
VNY       Van Nuys                        CA  34.212500  -118.490833     804
AKO       Akron                           CO  40.174444  -103.214444    4662
APA       Denver                          CO  39.563889  -104.848333    5825
ASE       Aspen                           CO  39.228889  -106.869444    7723
LHX       La Junta                        CO  38.049444  -103.512222    4191
DXR       Danbury                         CT  41.371667   -73.484444     456
GON       Groton/New London               CT  41.327500   -72.049444      10
HFD       Hartford                        CT  41.735000   -72.651667      16
HVN       New Haven                       CT  41.264722   -72.885000      12
CEW       Crestview                       FL  30.789722   -86.531389     183
CRG       Jacksonville                    FL  30.336111   -81.514722      45
FLL       Fort Lauderdale                 FL  26.068056   -80.152500     100
FMY       Fort Myers                      FL  26.583333   -81.868611      16
FPR       Fort Pierce                     FL  27.498056   -80.376667      44
FXE       Fort Lauderdale                 FL  26.198889   -80.178056      20
GNV       Gainesville                     FL  29.685833   -82.270556     150
HWO       Hollywood                       FL  25.998889   -80.241111       8
MLB       Melbourne                       FL  28.100278   -80.635556      37
OPF       Miami                           FL  25.910000   -80.283056      53
ORL       Orlando                         FL  28.546389   -81.335833     118
PFN       Panama City                     FL  30.217778   -85.683611      40
PIE       St. Petersburg/Clearwater       FL  27.912222   -82.685556      12
PMP       Pompano Beach                   FL  26.245556   -80.111389      30
PNS       Pensacola                       FL  30.478056   -87.186944     125
RSW       Fort Myers                      FL  26.527500   -81.766389      30
SPG       St. Petersburg                  FL  27.766389   -82.628611       6
SRQ       Sarasota/Bradenton              FL  27.401389   -82.558611      60
TMB       Miami                           FL  25.641944   -80.434722       9
VRB       Vero Beach                      FL  27.655000   -80.414167      36
ABY       Albany                          GA  31.537778   -84.193889     205
AMG       Alma                            GA  31.539722   -82.507500     194
FTY       Atlanta                         GA  33.777500   -84.524444     857
PDK       Atlanta                         GA  33.878611   -84.298333     992
SSI       Brunswick                       GA  31.152222   -81.390833      21
BRL       Burlington                      IA  40.772778   -91.125278     694
CID       Cedar Rapids                    IA  41.882778   -91.723889     868
MCW       Mason City                      IA  43.154444   -93.326944    1211
OTM       Ottumwa                         IA  41.100833   -92.444444     842
BYI       Burley                          ID  42.541667  -113.766111    4149
IDA       Idaho Falls                     ID  43.520833  -112.066111    4766
TWF       Twin Falls                      ID  42.478611  -114.476111    4155
ARR       Chicago/Aurora                  IL  41.770000   -88.481389     707
CMI       Champaign/Urbana                IL  40.032222   -88.273333     750
CPS       Cahokia/St. Louis               IL  38.563611   -90.148056     414
DEC       Decatur                         IL  39.830556   -88.855278     679
DPA       Chicago/West Chicago            IL  41.896389   -88.251111     783
MDH       Carbondale/Murphysboro          IL  37.783056   -89.245000     428
MDW       Chicago                         IL  41.783889   -87.755556     644
PWK       Chicago/Wheeling                IL  42.120833   -87.904722     666
BMG       Bloomington                     IN  39.143056   -86.616667     856
HUF       Terre Haute                     IN  39.441667   -87.325278     589
LAF       Lafayette                       IN  40.412500   -86.947500     640
MIE       Muncie                          IN  40.234167   -85.393611     976
VPZ       Valparaiso                      IN  41.453056   -86.998056     758
CNU       Chanute                         KS  37.670278   -95.484167     976
EMP       Emporia                         KS  38.328889   -96.193889    1204
FOE       Topeka                          KS  38.941389   -95.650556    1051
GCK       Garden City                     KS  37.922222  -100.723889    2878
HLC       Hill City                       KS  39.374722   -99.829722    2196
HUT       Hutchinson                      KS  38.068056   -97.860556    1533
MHK       Manhattan                       KS  39.135278   -96.677778    1043
OJC       Olathe                          KS  38.850000   -94.739167    1070
RSL       Russell                         KS  38.872778   -98.813056    1863
SLN       Salina                          KS  38.780000   -97.644167    1264
BWG       Bowling Green                   KY  37.964167   -86.423889     529
LOU       Louisville                      KY  38.223611   -85.658333     540
LOZ       London                          KY  37.089444   -84.068611    1190
DTN       Shreveport                      LA  32.542500   -93.744722     176
ESF       Alexandria                      LA  31.395000   -92.290278      95
LFT       Lafayette                       LA  30.202222   -91.993056      39
MLU       Monroe                          LA  32.511667   -92.031389      97
NEW       New Orleans                     LA  30.049444   -90.178889      10
ACK       Nantucket                       MA  41.253889   -70.059722      55
BAF       Westfield                       MA  42.159722   -72.712778     264
BED       Bedford                         MA  42.468333   -71.294444     167
BVY       Beverly                         MA  42.583611   -70.916389      95
EWB       New Bedford                     MA  41.675278   -70.956944      76
HYA       Hyannis                         MA  41.669167   -70.270833      73
LWM       Lawrence                        MA  42.713056   -71.125833     180
MVY       Vineyard Haven                  MA  41.392222   -70.616667      54
OWD       Norwood                         MA  42.190833   -71.173889      65
HGR       Hagerstown                      MD  39.705833   -77.730000     735
SBY       Salisbury                       MD  38.339167   -75.504167      65
AUG       Augusta                         ME  44.315556   -69.797222     360
BGR       Bangor                          ME  44.797222   -68.818611     243
HUL       Houlton                         ME  46.118889   -67.793889     494
ARB       Ann Arbor                       MI  42.223889   -83.740000     825
AZO       Kalamazoo                       MI  42.229167   -85.546389     893
BTL       Battle Creek                    MI  42.312500   -85.240833     953
CMX       Hancock                         MI  47.166944   -88.488333    1071
DET       Detroit                         MI  42.407222   -83.009167     626
MBS       Saginaw                         MI  43.536667   -84.080556     664
PLN       Pellston                        MI  45.564444   -84.792778     713
PTK       Pontiac                         MI  42.663056   -83.410000     984
TVC       Traverse City                   MI  44.736667   -85.570000     657
YIP       Detroit                         MI  42.236667   -83.526111     707
AXN       Alexandria                      MN  45.868611   -95.394167    1422
FCM       Minneapolis                     MN  44.826389   -93.467778     920
MIC       Minneapolis                     MN  45.062500   -93.350833     870
RWF       Redwood Falls                   MN  44.544722   -95.080556    1021
STP       St. Paul                        MN  44.930278   -93.048056     719
3SZ       St. Charles                     MO  38.930556   -90.432500     435
CGI       Cape Girardeau                  MO  37.225556   -89.578333     337
JLN       Joplin                          MO  37.156389   -94.501944     983
MKC       Kansas City                     MO  39.120833   -94.596944     747
STJ       St. Joseph                      MO  39.768056   -94.909167     811
SUS       St. Louis                       MO  38.662500   -90.649722     463
VIH       Rolla/Vichy                     MO  38.127778   -91.769444    1095
GLH       Greenville                      MS  33.490833   -90.981111     148
GPT       Gulfport                        MS  30.411944   -89.080833      41
HKS       Jackson                         MS  32.337222   -90.221667     355
MCB       McComb                          MS  31.181944   -90.472222     408
BTM       Butte                           MT  45.964722  -112.500556    5537
BZN       Bozeman                         MT  45.788056  -111.160833    4466
LVM       Livingston                      MT  45.698333  -110.440833    4653
MLS       Miles City                      MT  46.426667  -105.882500    2628
ECG       Elizabeth City                  NC  36.263056   -76.182778      39
EWN       New Bern                        NC  35.067500   -77.047222      13
FAY       Fayetteville                    NC  34.989444   -78.880000     182
HKY       Hickory                         NC  35.742222   -81.382222    1162
INT       Winston Salem                   NC  36.133333   -80.224722     957
RWI       Rocky Mount                     NC  35.849444   -77.896667     157
DIK       Dickinson                       ND  46.799444  -102.797222    2586
GFK       Grand Forks                     ND  47.942778   -97.183889     852
JMS       Jamestown                       ND  46.925833   -98.669167    1494
MOT       Minot                           ND  48.255278  -101.273333    1713
CDR       Chadron                         NE  42.837222  -103.097778    3315
OMA       Omaha                           NE  41.310278   -95.899167    1026
SNY       Sidney                          NE  41.099444  -102.985556    4288
LEB       Lebanon                         NH  43.627222   -72.305833     561
MHT       Manchester                      NH  42.927500   -71.435000     267
CDW       Caldwell                        NJ  40.876389   -74.283056     189
MIV       Millville                       NJ  39.366111   -75.078333      76
MMU       Morristown                      NJ  40.796944   -74.418889     200
TTN       Trenton                         NJ  40.276389   -74.816389     195
CNM       Carlsbad                        NM  32.334444  -104.257500    3232
DMN       Deming                          NM  32.259722  -107.720000    4302
GUP       Gallup                          NM  35.508333  -108.792500    6468
LVS       Las Vegas                       NM  35.655833  -105.138056    6860
SAF       Santa Fe                        NM  35.610556  -106.095000    6333
TCC       Tucumcari                       NM  35.180556  -103.600833    4054
LOL       Lovelock                        NV  40.068056  -118.569167    3901
TPH       Tonopah                         NV  38.051111  -117.090278    5419
ART       Watertown                       NY  43.988889   -76.026389     330
ELM       Elmira                          NY  42.156389   -76.902778     993
FRG       Farmingdale                     NY  40.734167   -73.416944      72
GFL       Glens Falls                     NY  43.338056   -73.610556     338
HPN       White Plains                    NY  41.068333   -73.711667     397
ISP       Islip                           NY  40.793889   -73.101667     122
MSS       Massena                         NY  44.933056   -74.849167     217
MSV       Monticello                      NY  41.705556   -74.800556    1407
POU       Poughkeepsie                    NY  41.625556   -73.881944     153
UCA       Utica                           NY  43.143611   -75.384444     749
AKR       Akron                           OH  41.037500   -81.464167    1193
BKL       Cleveland                       OH  41.525556   -81.668889     604
LUK       Cincinnati                      OH  39.105833   -84.415833     510
OSU       Columbus                        OH  40.078056   -83.078056     921
ZZV       Zanesville                      OH  39.946111   -81.893056     882
CSM       Clinton                         OK  35.356667   -99.203611    1930
GAG       Gage                            OK  36.296667   -99.768889    2193
HBR       Hobart                          OK  34.989444   -99.052500    1553
LAW       Lawton                          OK  34.557500   -98.416667    1108
MLC       McAlester                       OK  34.882222   -95.783056     762
PWA       Oklahoma City                   OK  35.541111   -97.646667    1305
RVS       Tulsa                           OK  36.042500   -95.989444     657
BKE       Baker                           OR  44.842778  -117.808611    3361
HIO       Portland                        OR  45.548056  -122.954444     224
LMT       Klamath Falls                   OR  42.146944  -121.724167    4087
TTD       Portland                        OR  45.551111  -122.408889      49
AGC       Pittsburgh                      PA  40.356389   -79.935278    1279
AOO       Altoona                         PA  40.300000   -78.316944    1493
CXY       Harrisburg                      PA  40.218333   -76.855556     348
JST       Johnstown                       PA  40.314722   -78.830833    2278
LNS       Lancaster                       PA  40.120278   -76.294444     413
MDT       Harrisburg                      PA  40.200556   -76.778056     312
RDG       Reading                         PA  40.379167   -75.965000     360
AND       Anderson                        SC  34.497778   -82.709722     785
CRE       North Myrtle Beach              SC  33.816111   -78.720556      25
FLO       Florence                        SC  34.187778   -79.730833     147
GMU       Greenville                      SC  34.846111   -82.346111    1035
ATY       Watertown                       SD  44.904722   -97.149444    1746
PIR       Pierre                          SD  44.381389  -100.285556    1728
CSV       Crossville                      TN  35.950000   -85.081111    1870
MEM       Memphis                         TN  35.061111   -89.985000     284
MKL       Jackson                         TN  35.593056   -88.916667     421
AFW       Fort Worth                      TX  32.973333   -97.318056     685
ALI       Alice                           TX  27.741111   -98.024722     177
CDS       Childress                       TX  34.427500  -100.283333    1951
CLL       College Station                 TX  30.582222   -96.361667     316
COT       Cotulla                         TX  28.453333   -99.216944     461
DAL       Dallas                          TX  32.851944   -96.855556     546
DHT       Dalhart                         TX  36.021111  -102.547778    3992
DWH       Houston                         TX  30.067500   -95.556111     153
FTW       Fort Worth                      TX  32.825278   -97.364167     709
GGG       Longview                        TX  32.390556   -94.713889     353
GLS       Galveston                       TX  29.270278   -94.864167      22
HOU       Houston                         TX  29.638056   -95.281944      74
HRL       Harlingen                       TX  26.229722   -97.655278      35
INK       Wink                            TX  31.780278  -103.200833    2807
LFK       Lufkin                          TX  31.233611   -94.750000     289
MFE       Mcallen                         TX  26.179722   -98.244444     126
MWL       Mineral Wells                   TX  32.782222   -98.061389     934
RBD       Dallas                          TX  32.675833   -96.863889     668
SSF       San Antonio                     TX  29.338889   -98.471667     580
TYR       Tyler                           TX  32.358611   -95.403889     515
BCE       Bryce Canyon                    UT  37.702222  -112.153889    7586
CDC       Cedar City                      UT  37.708611  -113.094444    5603
OGD       Ogden                           UT  41.193611  -112.016389    4490
CHO       Charlottesville                 VA  38.138611   -78.455556     630
DAN       Danville                        VA  36.572778   -79.335278     575
PHF       Newport News                    VA  37.132222   -76.494444      57
